iter	Passed	Remaining
0	167	167813
1	185	92622
2	202	67322
3	219	54569
4	224	44636
5	240	39900
6	257	36491
7	274	34018
8	292	32205
9	308	30540
10	324	29219
11	342	28181
12	358	27229
13	375	26460
14	391	25733
15	409	25206
16	425	24628
17	441	24092
18	457	23636
19	474	23227
20	490	22881
21	506	22505
22	516	21928
23	532	21639
24	548	21377
25	564	21151
26	581	20962
27	597	20758
28	615	20595
29	631	20406
30	647	20226
31	663	20057
32	679	19905
33	696	19776
34	712	19647
35	728	19507
36	744	19376
37	761	19273
38	777	19151
39	793	19048
40	809	18944
41	825	18837
42	841	18734
43	858	18645
44	874	18563
45	890	18478
46	906	18389
47	922	18297
48	938	18210
49	955	18163
50	972	18099
51	989	18035
52	1005	17958
53	1021	17896
54	1038	17849
55	1054	17771
56	1069	17701
57	1086	17650
58	1103	17592
59	1118	17529
60	1133	17454
61	1153	17450
62	1170	17405
63	1187	17372
64	1204	17327
65	1220	17267
66	1236	17224
67	1254	17192
68	1280	17275
69	1299	17263
70	1316	17224
71	1332	17177
72	1348	17127
73	1365	17086
74	1381	17032
75	1398	16998
76	1413	16945
77	1429	16903
78	1445	16848
79	1461	16812
80	1478	16769
81	1494	16732
82	1510	16689
83	1526	16643
84	1541	16598
85	1557	16551
86	1575	16529
87	1592	16502
88	1610	16486
89	1627	16453
90	1644	16423
91	1661	16394
92	1676	16351
93	1692	16309
94	1708	16271
95	1724	16238
96	1740	16202
97	1755	16162
98	1771	16124
99	1788	16093
100	1805	16073
101	1821	16037
102	1837	16005
103	1853	15969
104	1868	15927
105	1884	15893
106	1899	15856
107	1916	15830
108	1932	15796
109	1949	15769
110	1964	15732
111	1981	15706
112	1997	15676
113	2012	15642
114	2028	15612
115	2043	15576
116	2059	15541
117	2074	15507
118	2090	15480
119	2107	15452
120	2123	15423
121	2141	15410
122	2157	15380
123	2173	15354
124	2190	15330
125	2206	15306
126	2222	15280
127	2239	15258
128	2256	15234
129	2272	15207
130	2288	15180
131	2308	15177
132	2324	15151
133	2339	15121
134	2355	15089
135	2371	15063
136	2386	15034
137	2402	15005
138	2417	14973
139	2433	14949
140	2449	14923
141	2465	14895
142	2480	14868
143	2496	14841
144	2512	14817
145	2528	14788
146	2544	14763
147	2560	14741
148	2576	14715
149	2592	14691
150	2608	14667
151	2624	14642
152	2641	14625
153	2657	14598
154	2673	14573
155	2689	14548
156	2707	14536
157	2724	14517
158	2742	14503
159	2759	14485
160	2775	14464
161	2792	14443
162	2807	14418
163	2824	14396
164	2840	14375
165	2856	14352
166	2873	14332
167	2889	14310
168	2906	14293
169	2923	14271
170	2939	14250
171	2955	14227
172	2972	14210
173	2988	14184
174	3003	14161
175	3019	14138
176	3035	14114
177	3050	14088
178	3066	14064
179	3081	14039
180	3097	14015
181	3113	13992
182	3129	13973
183	3145	13950
184	3161	13929
185	3178	13911
186	3195	13890
187	3211	13870
188	3227	13851
189	3244	13830
190	3259	13807
191	3275	13785
192	3292	13765
193	3308	13743
194	3324	13725
195	3340	13704
196	3364	13714
197	3385	13712
198	3403	13698
199	3419	13679
200	3434	13654
201	3450	13630
202	3465	13607
203	3481	13582
204	3496	13557
205	3511	13533
206	3527	13513
207	3543	13493
208	3559	13472
209	3576	13453
210	3591	13429
211	3607	13407
212	3623	13387
213	3638	13365
214	3655	13347
215	3671	13326
216	3687	13307
217	3704	13288
218	3720	13267
219	3736	13249
220	3752	13228
221	3768	13206
222	3784	13185
223	3800	13164
224	3815	13142
225	3831	13121
226	3847	13100
227	3863	13080
228	3878	13059
229	3895	13040
230	3911	13020
231	3926	12997
232	3943	12981
233	3960	12964
234	3977	12947
235	3995	12933
236	4012	12918
237	4028	12898
238	4045	12881
239	4061	12861
240	4080	12851
241	4096	12831
242	4112	12809
243	4128	12790
244	4144	12772
245	4160	12751
246	4177	12734
247	4195	12721
248	4212	12704
249	4227	12682
250	4243	12663
251	4259	12642
252	4274	12621
253	4290	12602
254	4307	12585
255	4328	12580
256	4347	12568
257	4362	12546
258	4378	12525
259	4392	12502
260	4408	12481
261	4423	12461
262	4440	12443
263	4456	12424
264	4472	12403
265	4488	12386
266	4504	12367
267	4521	12348
268	4537	12330
269	4555	12316
270	4571	12296
271	4586	12275
272	4601	12254
273	4617	12233
274	4633	12214
275	4648	12193
276	4664	12173
277	4679	12153
278	4695	12133
279	4711	12114
280	4727	12095
281	4743	12076
282	4758	12055
283	4773	12035
284	4789	12016
285	4805	11996
286	4820	11976
287	4836	11958
288	4853	11941
289	4870	11923
290	4887	11906
291	4903	11890
292	4920	11872
