iter	Passed	Remaining
0	139	139800
1	141	70772
2	143	47688
3	145	36278
4	147	29426
5	150	24983
6	152	21696
7	154	19153
8	155	17146
9	156	15514
10	157	14150
11	158	13067
12	159	12113
13	160	11316
14	162	10640
15	163	10082
16	165	9567
17	166	9101
18	168	8679
19	169	8284
20	170	7936
21	171	7623
22	172	7337
23	173	7060
24	174	6812
25	176	6606
26	177	6402
27	179	6216
28	180	6037
29	181	5864
30	182	5706
31	183	5549
32	184	5398
33	184	5256
34	185	5122
35	186	4995
36	187	4874
37	188	4762
38	188	4654
39	189	4551
40	190	4451
41	190	4353
42	191	4262
43	192	4179
44	193	4098
45	193	4021
46	194	3943
47	195	3868
48	195	3796
49	196	3730
50	197	3666
51	197	3604
52	198	3543
53	198	3485
54	199	3429
55	200	3376
56	200	3324
57	201	3274
58	202	3226
59	203	3180
60	203	3135
61	204	3092
62	205	3049
63	206	3015
64	207	2979
65	208	2945
66	208	2907
67	209	2869
68	209	2833
69	210	2796
70	211	2761
71	211	2727
72	212	2694
73	212	2661
74	213	2629
75	213	2599
76	214	2569
77	214	2541
78	215	2512
79	216	2485
80	216	2458
81	217	2431
82	217	2403
83	218	2378
84	218	2354
85	219	2330
86	219	2307
87	220	2286
88	221	2266
89	222	2244
90	222	2225
91	223	2205
92	224	2185
93	224	2165
94	225	2145
95	225	2127
96	226	2109
97	227	2091
98	227	2073
99	228	2055
100	229	2038
101	229	2021
102	230	2004
103	230	1988
104	231	1972
105	231	1956
106	232	1940
107	233	1924
108	233	1909
109	234	1894
110	234	1879
111	235	1865
112	235	1852
113	236	1841
114	237	1828
115	238	1815
116	238	1801
117	239	1788
118	239	1775
119	240	1762
120	240	1749
121	241	1736
122	241	1724
123	242	1712
124	242	1700
125	243	1689
126	244	1677
127	244	1666
128	245	1655
129	245	1644
130	246	1633
131	246	1623
132	247	1612
133	248	1603
134	248	1594
135	249	1584
136	250	1575
137	250	1566
138	251	1557
139	252	1548
140	252	1540
141	253	1530
142	253	1522
143	254	1514
144	255	1507
145	256	1499
146	257	1492
147	257	1484
148	258	1476
149	259	1468
150	259	1460
151	260	1452
152	260	1444
153	261	1436
154	262	1428
155	262	1420
156	263	1413
157	263	1405
158	264	1397
159	264	1390
160	265	1382
161	266	1376
162	266	1370
163	267	1363
164	268	1357
165	268	1350
166	269	1344
167	270	1338
168	270	1331
169	271	1325
170	271	1318
171	272	1311
172	272	1305
173	273	1299
174	274	1292
175	274	1286
176	275	1280
177	275	1273
178	276	1268
179	277	1261
180	277	1256
181	278	1250
182	278	1244
183	279	1238
184	279	1232
185	280	1227
186	281	1222
187	281	1217
188	282	1213
189	283	1208
190	284	1203
191	284	1198
192	285	1193
193	286	1189
194	286	1184
195	287	1179
196	288	1174
197	288	1169
198	289	1163
199	289	1158
200	290	1153
201	290	1148
202	291	1144
203	291	1139
204	292	1134
205	293	1129
206	293	1124
207	294	1120
208	294	1115
209	295	1112
210	296	1108
211	297	1105
212	297	1100
213	298	1096
214	299	1092
215	299	1088
216	300	1084
217	301	1079
218	301	1075
219	302	1071
220	302	1067
221	303	1063
222	304	1059
223	304	1056
224	305	1052
225	306	1048
226	306	1044
227	307	1040
228	307	1036
229	308	1032
230	309	1028
231	309	1025
232	310	1021
233	311	1018
234	311	1015
235	312	1012
236	313	1008
237	313	1005
238	314	1002
239	315	998
240	315	995
241	316	992
242	317	988
243	318	985
244	318	982
245	319	978
246	319	975
247	320	971
248	321	968
249	321	964
250	322	961
251	322	957
252	323	954
253	323	951
254	324	947
255	325	945
256	326	942
257	326	940
258	327	937
259	328	934
260	329	931
261	329	928
262	330	925
263	330	922
264	331	919
265	332	916
266	332	912
267	333	909
268	333	906
269	334	903
270	334	900
271	335	897
272	335	894
273	336	891
274	336	888
275	337	885
276	338	882
277	338	879
278	339	876
279	339	873
280	340	871
281	341	868
282	341	865
283	342	862
284	342	859
285	343	856
286	343	854
287	344	851
288	344	848
289	345	845
290	346	843
291	346	840
292	346	837
293	347	834
294	347	831
295	348	828
296	348	826
297	349	823
298	350	821
299	350	818
300	351	815
301	351	812
302	352	810
303	352	807
304	353	805
305	354	803
306	354	801
307	355	799
308	356	797
309	357	794
310	357	792
311	358	790
312	359	788
313	359	785
314	360	783
315	361	781
316	361	779
317	362	777
318	363	775
319	363	773
320	364	770
321	365	768
322	365	766
323	366	764
324	367	762
325	367	760
326	368	758
327	368	755
328	369	754
329	370	752
330	371	749
331	371	747
332	372	745
333	372	743
334	373	741
335	373	738
336	374	736
337	375	734
338	375	732
339	376	730
340	376	727
341	377	725
342	377	723
343	378	721
344	378	718
345	379	716
346	379	714
347	380	712
348	381	710
349	381	708
350	382	706
351	382	705
352	383	703
353	384	701
354	385	699
355	385	697
356	386	695
357	387	694
358	387	692
359	388	689
360	388	687
361	389	685
362	389	683
363	390	681
364	390	679
365	391	677
366	391	675
367	392	673
368	392	671
369	393	669
370	394	668
371	394	666
372	395	664
373	396	662
374	396	661
375	397	659
376	397	657
377	398	655
378	398	653
379	399	652
380	400	650
381	401	648
382	401	647
383	402	645
384	402	643
385	403	641
386	403	639
387	404	637
388	405	636
389	405	634
390	406	632
391	406	630
392	407	628
393	407	627
394	408	625
395	409	623
396	409	622
397	410	620
398	411	619
399	411	617
400	412	616
401	413	614
402	413	613
403	414	611
404	415	610
405	416	608
406	416	607
407	417	605
408	418	604
409	419	603
410	419	601
411	420	600
412	421	598
413	421	597
414	422	595
415	423	594
416	423	592
417	424	591
418	425	589
419	426	588
420	426	586
421	427	585
422	427	583
423	428	582
424	429	580
425	430	579
426	431	578
427	431	577
428	432	575
429	433	574
430	433	572
431	434	571
432	435	569
433	435	568
434	436	567
435	437	565
436	437	564
437	438	562
438	439	561
439	439	559
440	440	558
441	441	556
442	441	555
443	442	553
444	442	552
445	443	551
446	444	549
447	445	548
448	446	547
449	446	545
450	447	544
451	447	542
452	448	541
453	448	539
454	449	538
455	449	536
456	450	535
457	450	533
458	451	531
459	451	530
460	452	528
461	452	527
462	453	525
463	454	524
464	454	522
465	455	521
466	455	519
467	456	518
468	456	516
469	456	515
470	457	513
471	457	512
472	458	510
473	458	509
474	459	508
475	460	506
476	460	505
477	461	504
478	462	502
479	463	501
480	463	500
481	464	499
482	465	497
483	465	496
484	466	495
485	466	493
486	467	492
487	467	490
488	468	489
489	468	488
490	469	486
491	469	485
492	470	483
493	470	482
494	471	481
495	472	479
496	472	478
497	473	476
498	473	475
499	474	474
500	474	472
501	475	472
502	476	471
503	477	470
